num_frames_total,num_valid_track_frames,primary_track_id,track_area_ratio,mean_confidence,min_confidence,filepath,class_name,split,status,selection_method
28,28,1,0.3442363015378175,0.6723603010177612,0.2747006416320801,00_Short Serve/2022-08-30_18-00-09_dataset_set1_009_001424_001452_A_00.mp4,00_Short Serve,train,ok,
25,25,1,0.3051016163903403,0.6899722814559937,0.3357019424438476,00_Short Serve/2022-08-30_18-00-09_dataset_set1_016_001916_001941_A_00.mp4,00_Short Serve,train,ok,
23,23,1,0.3462476363558286,0.6520169973373413,0.2825006544589996,00_Short Serve/2022-08-30_18-00-09_dataset_set1_023_002458_002481_A_00.mp4,00_Short Serve,train,ok,
26,26,1,0.3408232505953521,0.6631765961647034,0.2568870782852173,00_Short Serve/2022-08-30_18-00-09_dataset_set1_051_004045_004071_A_00.mp4,00_Short Serve,val,ok,
24,24,1,0.3456952770180559,0.6716595888137817,0.3381395041942596,00_Short Serve/2022-08-30_18-00-09_dataset_set1_053_004370_004394_A_00.mp4,00_Short Serve,train,ok,
23,23,1,0.3631754286591561,0.6476600766181946,0.2708057761192322,00_Short Serve/2022-08-30_18-00-09_dataset_set1_060_004920_004943_A_00.mp4,00_Short Serve,train,ok,
27,27,1,0.3267320959568541,0.6693031191825867,0.3425275981426239,00_Short Serve/2022-08-30_18-00-09_dataset_set1_068_005601_005628_A_00.mp4,00_Short Serve,test,ok,
26,26,1,0.3483120368175648,0.6783914566040039,0.2957048714160919,00_Short Serve/2022-08-30_18-00-09_dataset_set1_082_006502_006528_A_00.mp4,00_Short Serve,train,ok,
24,24,1,0.2876433970612101,0.6698723435401917,0.3550822138786316,00_Short Serve/2022-08-30_18-00-09_dataset_set1_088_006954_006978_A_00.mp4,00_Short Serve,train,ok,
25,25,1,0.3271291426498185,0.6825143694877625,0.279834508895874,00_Short Serve/2022-08-30_18-00-09_dataset_set1_094_007359_007384_A_00.mp4,00_Short Serve,train,ok,
25,25,1,0.3052000694366239,0.6818176507949829,0.324039101600647,00_Short Serve/2022-08-30_18-00-09_dataset_set1_108_008697_008722_A_00.mp4,00_Short Serve,train,ok,
23,23,1,0.3326751790423319,0.6712153553962708,0.2902830839157104,00_Short Serve/2022-08-30_18-00-09_dataset_set1_117_009331_009354_A_00.mp4,00_Short Serve,val,ok,
24,24,1,0.3265601265811488,0.6762574315071106,0.3527069687843323,00_Short Serve/2022-08-30_18-00-09_dataset_set1_124_010143_010167_A_00.mp4,00_Short Serve,train,ok,
24,24,1,0.3436431828434461,0.6758488416671753,0.3087253868579864,00_Short Serve/2022-08-30_18-00-09_dataset_set1_128_011293_011317_A_00.mp4,00_Short Serve,train,ok,
27,27,1,0.3144886865212585,0.6859285235404968,0.3716121912002563,00_Short Serve/2022-08-30_18-00-09_dataset_set1_132_011572_011599_A_00.mp4,00_Short Serve,train,ok,
24,24,1,0.3388176821337831,0.6659591197967529,0.3152785301208496,00_Short Serve/2022-08-30_18-00-09_dataset_set1_136_011890_011914_A_00.mp4,00_Short Serve,train,ok,
24,24,1,0.4905069464058215,0.6604205965995789,0.3229036927223205,00_Short Serve/2022-08-30_18-00-09_dataset_set1_159_014116_014140_A_00.mp4,00_Short Serve,train,ok,
22,22,1,0.3362959558590957,0.647548496723175,0.274976372718811,00_Short Serve/2022-08-30_18-00-09_dataset_set1_161_014357_014379_A_00.mp4,00_Short Serve,train,ok,
24,24,1,0.2987596360092491,0.6562682390213013,0.2819447517395019,00_Short Serve/2022-08-30_18-00-09_dataset_set1_181_016570_016594_A_00.mp4,00_Short Serve,train,ok,
25,25,1,0.3441813161356229,0.6157098412513733,0.2823729217052459,00_Short Serve/2022-08-30_18-10-55_dataset_set1_011_001295_001320_B_00.mp4,00_Short Serve,train,ok,
11,11,1,0.458587472202277,0.6334587931632996,0.3086456060409546,00_Short Serve/2022-08-30_18-10-55_dataset_set1_013_001599_001610_B_00.mp4,00_Short Serve,train,ok,
20,20,1,0.3460608575568816,0.6187979578971863,0.2693420648574829,00_Short Serve/2022-08-30_18-10-55_dataset_set1_025_002850_002870_B_00.mp4,00_Short Serve,train,ok,
23,23,1,0.3640156522812338,0.6444520950317383,0.2996906638145447,00_Short Serve/2022-08-30_18-10-55_dataset_set1_039_004208_004231_B_00.mp4,00_Short Serve,train,ok,
13,13,1,0.3450452285247133,0.6112769246101379,0.2949797809123993,00_Short Serve/2022-08-30_18-10-55_dataset_set1_042_004595_004608_B_00.mp4,00_Short Serve,train,ok,
23,23,1,0.3667680326185212,0.6379837393760681,0.2877932488918304,00_Short Serve/2022-08-30_18-10-55_dataset_set1_071_006605_006628_B_00.mp4,00_Short Serve,train,ok,
33,33,1,0.3486399979171837,0.6217559576034546,0.2512609660625458,00_Short Serve/2022-08-30_18-10-55_dataset_set1_097_009208_009241_B_00.mp4,00_Short Serve,test,ok,
25,25,2,0.3773599084414747,0.6399951577186584,0.2567242980003357,00_Short Serve/2022-08-30_18-10-55_dataset_set1_111_010276_010301_B_00.mp4,00_Short Serve,train,ok,
20,20,1,0.4417182627792268,0.6602972745895386,0.2956054210662842,00_Short Serve/2022-08-30_18-18-31_dataset_set1_000_000163_000183_B_00.mp4,00_Short Serve,test,ok,
26,26,1,0.3536838643807027,0.6207327246665955,0.2791449427604675,00_Short Serve/2022-08-30_18-18-31_dataset_set1_004_000578_000604_A_00.mp4,00_Short Serve,train,ok,
24,24,1,0.3521474441643618,0.6421725153923035,0.277400255203247,00_Short Serve/2022-08-30_18-18-31_dataset_set1_008_000903_000927_A_00.mp4,00_Short Serve,train,ok,
25,25,1,0.3828862131643415,0.6331649422645569,0.2814279794692993,00_Short Serve/2022-08-30_18-18-31_dataset_set1_012_001300_001325_A_00.mp4,00_Short Serve,test,ok,
28,28,1,0.3688770798894985,0.6435452103614807,0.2805629074573517,00_Short Serve/2022-08-30_18-18-31_dataset_set1_018_001742_001770_A_00.mp4,00_Short Serve,train,ok,
23,23,1,0.3775747394715615,0.638893187046051,0.2961932718753814,00_Short Serve/2022-08-30_18-18-31_dataset_set1_020_002061_002084_A_00.mp4,00_Short Serve,test,ok,area_reextracted
25,25,1,0.3463227106086015,0.6322470307350159,0.246841013431549,00_Short Serve/2022-08-30_18-18-31_dataset_set1_024_002403_002428_A_00.mp4,00_Short Serve,train,ok,
30,30,1,0.4032666165930245,0.6219349503517151,0.2893584370613098,00_Short Serve/2022-08-30_18-18-31_dataset_set1_026_002713_002743_A_00.mp4,00_Short Serve,train,ok,
21,13,5,0.4700459384082245,0.52513188123703,0.2084709107875824,00_Short Serve/2022-08-30_18-18-31_dataset_set1_033_003145_003166_A_00.mp4,00_Short Serve,train,ok,wrist_tiebreak
23,23,1,0.4477139799282381,0.6848477125167847,0.2943677306175232,00_Short Serve/2022-08-30_18-18-31_dataset_set1_036_003500_003523_B_00.mp4,00_Short Serve,train,ok,
25,25,1,0.3203304851968462,0.6317012310028076,0.2962141036987304,00_Short Serve/2022-08-30_18-18-31_dataset_set1_039_003851_003876_A_00.mp4,00_Short Serve,train,ok,
23,23,1,0.3964145751024713,0.6339393258094788,0.2672760486602783,00_Short Serve/2022-08-30_18-18-31_dataset_set1_041_004140_004163_A_00.mp4,00_Short Serve,train,ok,
32,32,1,0.324007955819645,0.6371767520904541,0.2730031609535217,00_Short Serve/2022-08-30_18-18-31_dataset_set1_049_004723_004755_A_00.mp4,00_Short Serve,train,ok,
22,22,1,0.3475695322060677,0.6419777274131775,0.2977827787399292,00_Short Serve/2022-08-30_18-18-31_dataset_set1_050_004940_004962_A_00.mp4,00_Short Serve,train,ok,
20,20,1,0.541447083560784,0.6269361972808838,0.1015282347798347,00_Short Serve/2022-08-30_18-18-31_dataset_set1_057_005380_005400_B_00.mp4,00_Short Serve,train,ok,
27,27,1,0.3692570351129419,0.6337581276893616,0.2846087515354156,00_Short Serve/2022-08-30_18-18-31_dataset_set1_059_005711_005738_A_00.mp4,00_Short Serve,train,ok,
26,26,1,0.3900048720289656,0.6254454255104065,0.1531365662813186,00_Short Serve/2022-08-30_18-18-31_dataset_set1_062_005962_005988_B_00.mp4,00_Short Serve,train,ok,
24,24,1,0.3436582867271474,0.6215720772743225,0.2608997821807861,00_Short Serve/2022-08-30_18-18-31_dataset_set1_069_006481_006505_A_00.mp4,00_Short Serve,test,ok,
25,25,1,0.4001546963401189,0.658446729183197,0.1584781408309936,00_Short Serve/2022-08-30_18-18-31_dataset_set1_075_007574_007599_B_00.mp4,00_Short Serve,train,ok,
20,20,1,0.3730479736768352,0.6360476016998291,0.2985760569572449,00_Short Serve/2022-08-30_18-18-31_dataset_set1_077_007807_007827_B_00.mp4,00_Short Serve,test,ok,
31,31,1,0.3647798374705586,0.6327241659164429,0.2518045604228973,00_Short Serve/2022-08-30_18-18-31_dataset_set1_089_008587_008618_A_00.mp4,00_Short Serve,train,ok,
25,25,1,0.3599030579789948,0.6571177244186401,0.2667262554168701,00_Short Serve/2022-08-30_18-18-31_dataset_set1_090_008731_008756_B_00.mp4,00_Short Serve,val,ok,
23,23,1,0.4893392813242543,0.6452032327651978,0.2735933661460876,00_Short Serve/2022-08-30_18-18-31_dataset_set1_092_008996_009019_B_00.mp4,00_Short Serve,train,ok,
22,22,1,0.3569657856981232,0.67031329870224,0.2741028070449829,00_Short Serve/2022-08-30_18-18-31_dataset_set1_095_009274_009296_B_00.mp4,00_Short Serve,train,ok,
29,29,1,0.4433527458537554,0.6525877714157104,0.2698846459388733,00_Short Serve/2022-08-30_18-18-31_dataset_set1_102_009676_009705_B_00.mp4,00_Short Serve,train,ok,
24,24,1,0.3562748884446008,0.668804943561554,0.283769428730011,00_Short Serve/2022-08-30_18-18-31_dataset_set1_103_009908_009932_B_00.mp4,00_Short Serve,train,ok,
23,23,1,0.3334210278056336,0.643862247467041,0.2571637630462646,00_Short Serve/2022-08-30_18-18-31_dataset_set1_108_010307_010330_A_00.mp4,00_Short Serve,train,ok,
25,25,1,0.4417370333059554,0.647578775882721,0.2156261950731277,00_Short Serve/2022-08-30_18-18-31_dataset_set1_116_010773_010798_B_00.mp4,00_Short Serve,train,ok,
23,23,1,0.3593386782942582,0.6720044612884521,0.2590646147727966,00_Short Serve/2022-08-30_18-18-31_dataset_set1_120_011084_011107_B_00.mp4,00_Short Serve,train,ok,
24,24,1,0.4312068644798226,0.6548721790313721,0.2754091024398803,00_Short Serve/2022-08-30_18-18-31_dataset_set1_126_011507_011531_B_00.mp4,00_Short Serve,train,ok,
25,25,1,0.3948434517749526,0.6196953058242798,0.1197319626808166,00_Short Serve/2022-08-30_18-18-31_dataset_set1_129_011903_011928_B_00.mp4,00_Short Serve,val,ok,
23,23,1,0.3501166228708686,0.6284846663475037,0.280349999666214,00_Short Serve/2022-08-30_18-18-31_dataset_set1_132_012324_012347_A_00.mp4,00_Short Serve,train,ok,
25,25,1,0.3504255634760403,0.6265764832496643,0.2703197002410888,00_Short Serve/2022-08-30_18-18-31_dataset_set1_148_013144_013169_A_00.mp4,00_Short Serve,train,ok,
27,27,1,0.3432634048859477,0.6469830870628357,0.2728046178817749,00_Short Serve/2022-08-30_18-18-31_dataset_set1_153_013465_013492_A_00.mp4,00_Short Serve,train,ok,
